customer_id,credit_card_default
CST_142525,0.00302420801985805
CST_129215,0.006421403719470758
CST_138443,0.9966437479352567
CST_123812,0.0030285125526882707
CST_144450,0.9970202243781122
CST_107341,0.004786167148449572
CST_147879,0.003070389174199804
CST_156027,0.0031144695738683395
CST_109067,0.0029736187285418435
CST_114556,0.005417466451690819
CST_132307,0.008343333704400616
CST_148711,0.5829564739698793
CST_102213,0.002994879418709591
CST_133435,0.003046049088082111
CST_151367,0.0029497801337032164
CST_146588,0.0030763328018426346
CST_145708,0.0030226758658228837
CST_104966,0.0029741972834189164
CST_139929,0.0066676880807914
CST_130907,0.003001391171151348
CST_140059,0.0031713757665337607
CST_154180,0.5131461858833384
CST_120612,0.0029856014739730453
CST_111370,0.003181602301502844
CST_122629,0.003085186299399628
CST_131153,0.0030562575006063313
CST_106588,0.6213471373597212
CST_115192,0.0037847547356344895
CST_160054,0.005652557050636316
CST_140486,0.0029766333574611187
CST_105714,0.9969949878583382
CST_127543,0.9970171163592253
CST_164093,0.0029955440519267473
CST_141046,0.24998760786921603
CST_145140,0.0031586098801446526
CST_116486,0.002992484749166518
CST_127031,0.0029352680867597066
CST_155620,0.003112788766965516
CST_162295,0.005258826576748441
CST_144934,0.006988975831098901
CST_136602,0.0033562349949488946
CST_119420,0.9965496177931985
CST_113813,0.9970049027087557
CST_102102,0.0029906040437243904
CST_152726,0.003053286203387875
CST_137408,0.003999538044315481
CST_145671,0.356009970914973
CST_134497,0.0036725700273881217
CST_165479,0.0029383876213243828
CST_152333,0.008629277216498024
CST_128622,0.0029981209405775507
CST_156929,0.0030636660092685226
CST_117376,0.003077786173019857
CST_129023,0.003957623990102432
CST_155439,0.006362669127505306
CST_130809,0.005035927697524611
CST_110862,0.99673719289622
CST_133574,0.003316205249248578
CST_142013,0.00759946591404567
CST_108038,0.002975892885085244
CST_164140,0.003185536785100266
CST_125428,0.002994241408688158
CST_112399,0.003016514191281018
CST_148957,0.004025235488688106
CST_120386,0.003203627547797157
CST_133622,0.005575571275754152
CST_144280,0.003066274523828495
CST_116221,0.0031056458363510893
CST_108265,0.005418902422894474
CST_134819,0.0031079533960848365
CST_127267,0.9970174570716879
CST_105750,0.005087613038822843
CST_115644,0.0030286770355738646
CST_149482,0.0030488048436753453
CST_136455,0.004721327225671566
CST_165276,0.0041993196706119175
CST_141429,0.006212700078779794
CST_119769,0.006201318589105958
CST_157368,0.002973562041122048
CST_129110,0.9970135424322258
CST_122305,0.00692151834291245
CST_133673,0.0030898937010699254
CST_141428,0.0030133388023490227
CST_100303,0.11408163653834016
CST_113297,0.99701410145148
CST_152946,0.996995628956866
CST_141308,0.0031086166817914985
CST_146480,0.0031781532601834945
CST_108406,0.0041630989407871865
CST_162148,0.006801376722831365
